parametric_var_95,historical_var_95,parametric_var_99,historical_var_99,stock_code
0.19336096630244184,0.1905847512005947,0.26839192338424595,0.23078872374728526,AAA
0.17115661617838818,0.12669333121025594,0.23750071684659918,0.32446291293187296,ACG
0.23170892135455154,,0.3110074635676564,,ADG
0.2229796058982218,0.18554917528907458,0.30560656510376005,0.32761848277560834,ADS
0.08501982692038618,0.05984363152931095,0.12184951794788902,0.11793934601962952,AST
0.2580842495259856,0.273721297756546,0.36702966124830444,0.3011730073937699,BBT
0.162901467582236,0.1792618512668328,0.22902373145186303,0.27380897949659216,BCM
0.06822499772488241,0.06747375727980144,0.09288592479808652,0.09720469862377815,BHN
0.08441585361747252,0.06710384521923332,0.1242851362603007,0.09637794063507304,BIC
0.13603574132716956,0.12524822717892062,0.1856788400839821,0.172525033924996,BLI
0.27641852859961913,0.29683185083510066,0.39352232527274594,0.40251647562993903,BMS
0.1662602937744346,0.12298738400467674,0.23665910815917487,0.23262916842024045,BPC
0.19900448241851215,0.18823791976268334,0.27597532199606983,0.2384518680619737,BSR
0.1116040167221209,0.08213713853987895,0.15768804599948083,0.12712902483777172,BVH
0.09728120495313439,0.07195634873536487,0.13801989199342501,0.08995496752498366,BWE
0.22642702137335946,0.18350671597016854,0.32455905732980594,0.3013357876035478,CC1
0.07374150828943739,0.043318904541417506,0.10727024547684116,0.06153146450078954,CDC
0.31428664347205126,0.379986593598682,0.4396788459828451,0.4465177180760355,CEO
0.06218551241413706,0.03959123295777784,0.09383350417510647,0.09085512244422059,CLC
0.1511217568545875,0.154596779455736,0.21507618394676406,0.1771149845074048,CMG
0.17019235306275785,0.16953303220754007,0.24018462120013465,0.2367709720198321,CNG
0.2843606445051243,0.2513141025767494,0.40959244073222933,0.33106210965123284,CNN
0.2059239751048653,0.199953521815608,0.29243291796801035,0.29843849304318204,CST
0.21273233156963273,0.19348123103075554,0.30801833618640295,0.2446237922988349,CSV
0.18131728254436458,0.16375912480242344,0.2595615048682364,0.19813431022456343,CTR
0.31295190194570827,0.2305598994881276,0.44957279541542455,0.5132041269474743,DCG
0.1740111550202905,0.17877649043545893,0.24579128502753717,0.236288507451126,DCM
0.2319734636774379,0.25395630839073746,0.33148241184320854,0.29609718794777307,DDV
0.08890902810556657,0.054350297602128304,0.12868542720557233,0.12292592624487433,DHG
0.16173702468368115,0.08394092293348775,0.2488603405838285,0.15963828027604932,DHT
0.2335044329549904,0.21168128537725353,0.3322935264823283,0.31264028772029184,DNA
0.2678769743769293,0.376287186573975,0.3813868809270421,0.46745356754090783,DPH
0.1575117315333157,0.14997194438345934,0.22378652172056507,0.26765756572019184,DPR
0.2483191148553294,0.2417452297568146,0.3527599302694102,0.3630632152718612,DRI
0.05824659710799161,0.04161164239842503,0.08495765331313901,0.08043915406424224,DSN
0.2227713055670592,0.16909579022499152,0.31700864073699514,0.22024438967688773,EVF
0.12959887571697834,0.08886653236371747,0.19246818407486974,0.1708653015389434,FOX
0.10832538870212317,0.10397169682989718,0.15896559769201712,0.1348933340858718,FPT
0.27642107255543136,0.2604060172024435,0.39153881194077966,0.4231057402684908,GDW
0.11531394003836545,0.08852491805816565,0.1650729319582275,0.1483411977888637,GMD
0.22432976861164838,0.2479119677447242,0.31914576536987244,0.33411928018808457,GVR
0.16942777507738926,0.15983593960616713,0.2374576916862356,0.2824367308104194,HAP
0.24400089986787515,0.19133521387429575,0.3429702708463318,0.2840062308182633,HJC
0.15552733422392742,0.12226047905067308,0.22143694210870654,0.24252626977439962,HPG
0.1830268960505695,0.15035949098079307,0.267198390812137,0.3214079616372956,HPT
0.13564403985178664,0.06301341931243966,0.20099404498723017,0.1178632848532639,HTL
0.09545103410956281,0.06988116996082015,0.13386172764210924,0.13114087472231445,ICT
0.14123470189727486,0.14676800805286663,0.2042551158314513,0.18119207315186253,IFS
0.1272920410823174,0.11431058192800903,0.18618451498076596,0.14828293202145243,IMP
0.17525492806871107,0.22240260902322137,0.25222496853504517,0.26395412322428713,IST
0.19079929409976146,0.19384017401912965,0.27087817257409663,0.24386873725747243,ITD
0.041533999098475945,0.05091534852780874,0.0607435984864725,0.06051844837728658,KOS
0.0689744048254999,0.06299049772973646,0.10356090351972438,0.07242796498721617,LIX
0.2063334745296901,0.17052902875263753,0.28288670259550786,0.2134876788680262,MML
0.17171171516757439,0.21613797982691507,0.24501763947160005,0.2801955271545521,MSH
0.1110023749992002,0.09845285927663303,0.15837150539554912,0.13185333490349915,MVB
0.14012430832844908,0.13613815806928056,0.2043194808160797,0.2328081629184242,NAF
0.1052271446079454,0.07204143762153932,0.1567946964826896,0.09503556283368322,NET
0.22108256189562067,0.21309537981881663,0.31023577371280237,0.2756735363683673,NKG
0.09699475208594656,0.08309620209969404,0.14423203397995832,0.12334385830569648,NST
0.27891894184814425,0.2864771180536578,0.39244054808564927,0.44585036142335527,PCM
0.20986116382877323,0.2603683289106149,0.29522067773780136,0.3532677435770488,PHR
0.08387221256814664,0.09274598139159629,0.11801483337243492,0.1271064749195008,PMB
0.1907436930237515,0.17947436816895154,0.26107894632214834,0.2383672562583453,POT
0.21073840743510566,0.20915219563511814,0.30315774870370515,0.2719374956789641,PVB
0.24746695833623975,0.2160006467187724,0.3427124826769317,0.38706912873299903,PVC
0.19115375174411944,0.15838635759063507,0.2693301979081617,0.30484551057845904,PVD
0.13041621286929161,0.1037133957836801,0.18739514957464634,0.16818379256641944,PVM
0.17752158344423685,0.15534226112125207,0.2517580565276989,0.27305466747641377,PVS
0.08262612282945668,0.07442667759348498,0.11978755634579416,0.14066608374604517,QNS
0.12096341299173503,0.11666698100677096,0.17238242146906696,0.16664325691884166,REE
0.12418342449113488,0.08640048264162507,0.17152710149864114,0.1892005150029502,SAB
0.1776691845054212,0.16240597543866064,0.26420775974839045,0.24843315526552454,SCL
0.3083652855374859,0.2820687812017314,0.4330694512721201,0.5391654475468165,SDU
0.09087389678343805,0.07422818265808742,0.12924726472380776,0.1627685584825034,SGB
0.21213265376696053,0.17467296040926364,0.2992207705242534,0.35889249178430394,SGT
0.10699467983266618,0.0755009488500333,0.15476199776156563,0.18134749239382345,SKV
0.25902836298628507,0.1906364311133696,0.36392098445644566,0.32687909637844054,SMT
0.1944803799260792,0.19781979644549547,0.27740567099918323,0.27045156006527893,SSI
0.24110318041226494,0.28770959419249137,0.34043398937563685,0.3733183380925561,SZC
0.13464570633117376,0.18374707496434098,0.19654489142733775,0.2482849651373993,TCB
0.14782415120778472,0.1623757462151789,0.20738961239656464,0.19954089338614564,THD
0.17713814503275943,0.13173566852852311,0.2656553063243375,0.1864009041504411,TMB
0.10403669794676261,0.09466103553546375,0.144148168615867,0.10619614855595275,TMS
0.11887248803920314,0.11921638341641236,0.1595498583573478,0.18142444999299331,TN1
0.1466081019650444,0.13579826602281775,0.2046608699421544,0.22885307990268045,TNH
0.5042948789143803,0.5235332279267881,0.7182590668019776,0.6777899058006313,TSJ
0.1912448886549548,0.1785604566926831,0.2760084875068227,0.2532036520728878,TTD
0.2329309524938983,0.22572446949830305,0.33242471721477945,0.28739659333873707,TV2
0.1919206288502208,0.18232155679395454,0.269875582995882,0.2373247118664184,TW3
0.11624584748447242,0.10036481348001719,0.17312741647814958,0.11732348078560399,VAV
0.1626119335907173,0.15583470195423374,0.23136212877335796,0.19272911159550501,VBB
0.09113764927640229,0.08582150768140151,0.13115089801774812,0.12788736731070252,VCB
0.20066822746465335,0.24173675731574068,0.286287746601239,0.2763682485100689,VCG
0.17929713859764873,0.22496815961328234,0.2492383510689458,0.2516119448772907,VCS
0.07103707106309073,0.050541571095344746,0.10248738224436038,0.07082325991106704,VEA
0.2428599685280231,0.21249539597509035,0.3477955844348053,0.29881002625043795,VEF
0.19810983383985362,0.22365064455901537,0.28228461996558535,0.2555478997884546,VGC
0.16250254588536542,0.09960426031548371,0.2405583958648052,0.19011701872158604,VGV
0.18902198508302215,0.1843106974920594,0.26850084893268966,0.19724974093211026,VHM
0.14431641951328306,0.11460503820895537,0.20921529208774056,0.2307719161335742,VLB
0.15616191664884263,0.1576261534768818,0.21710861213641058,0.25625088274198976,VLC
0.2448294603722055,0.2661675144719613,0.3439104385728155,0.38297343213668256,VND
0.07787016788276152,0.062093174818612776,0.10982217213404802,0.07982843177457968,VNM
0.062299334454052925,0.053085915531942016,0.09464604500777643,0.06470588700130281,VPD
0.11347004948784487,0.11054869808901649,0.1579610714259255,0.12899798056536171,VPS
0.16402475025201546,0.1493290678361175,0.23063160445781797,0.15750600500446388,VRE
0.17897053761526766,0.15926339844785203,0.24841582637046586,0.18218263892836514,VTD
0.24449511454070844,0.21785779224144486,0.339092889586664,0.4304033069685773,VTE
0.2245006491708944,0.22322580172021286,0.32540001170294885,0.26309609629973757,VTP
0.2839282930668866,0.18991551927633976,0.4000314851677467,0.34083918359934867,XPH
0.27859834304432907,0.18549196722788397,0.3932358341097233,0.39144157739407226,YEG
